modelo,split,accuracy,precision,recall,f1,roc_auc
Regresión logística,entrenamiento,0.8075842696629213,0.7698412698412699,0.7106227106227107,0.7390476190476191,0.8600757632648293
Regresión logística,prueba,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.844532279314888
K vecinos,entrenamiento,0.848314606741573,0.8481012658227848,0.7362637362637363,0.788235294117647,0.9176867172311364
K vecinos,prueba,0.8100558659217877,0.7868852459016393,0.6956521739130435,0.7384615384615385,0.8592226613965744
Árbol de decisión,entrenamiento,0.8609550561797753,0.881578947368421,0.7362637362637363,0.8023952095808383,0.9032558178344057
Árbol de decisión,prueba,0.7597765363128491,0.7321428571428571,0.5942028985507246,0.656,0.7921607378129119
Bosque aleatorio,entrenamiento,0.898876404494382,0.9313304721030042,0.7948717948717948,0.857707509881423,0.9535699683763466
Bosque aleatorio,prueba,0.8100558659217877,0.8301886792452831,0.6376811594202898,0.7213114754098361,0.8460474308300396
HistGradientBoosting,entrenamiento,0.9241573033707865,0.9227799227799228,0.8754578754578755,0.8984962406015038,0.9799994993616862
HistGradientBoosting,prueba,0.8100558659217877,0.7868852459016393,0.6956521739130435,0.7384615384615385,0.8135046113306983
